,DATE,Name,CUSIP,Market_value,Share
0,20190331,ADOBE,00724F101,1206720,4528199
1,20190331,ALIBABA,01609W102,1029079,5640334
2,20190331,ALPHABET,02079K107,521441,444419
3,20190331,AMAZON,023135106,1160445,651661
4,20190331,AUTODESK,052769106,536036,3440100
5,20190331,BOOKING,09857L108,560807,321396
6,20190331,CANADIAN,13645T100,663300,3219436
7,20190331,CONSTELLATION,21036P108,864807,4932455
8,20190331,CSX,126408103,598462,7998686
9,20190331,HORTON,23331A109,271776,6567812
10,20190331,FACEBOOK,30303M102,806893,4840683
11,20190331,IQVIA,46266C105,1108816,7708139
12,20190331,MASTERCARD,57636Q104,657256,2791487
13,20190331,MERCADOLIBRE,58733R102,338761,667206
14,20190331,MICROSOFT,594918104,1065592,9035031
15,20190331,amp,78409V104,650886,3091361
16,20190331,SALESFORCE,79466L302,310439,1960213
17,20190331,SEA,81141R100,170831,7263222
18,20190331,SERVICENOW,81762P102,420486,1705894
19,20190331,SHOPIFY,82509L107,8265,40000
20,20190331,SQUARE,852234103,8990,120000
21,20190331,STONECO,85158106,85439,2078303
22,20190331,TIFFANY,886547108,715207,6776002
23,20190331,TRANSDIGM,893641100,754192,1661253
24,20190331,TRANSUNION,89400J107,430139,6435350
25,20190331,UNION,907818108,554010,3313454
26,20190331,UNITEDHEALTH,91324P102,883885,3574718
27,20190331,WORLD,98156Q108,13632,157091
28,20190331,WYNN,983134107,710610,5955497
